Northern Mariana Islands,2020-01-29,159
Anguilla,2020-05-01,66
Tunisia,2020-07-27,164
United States Minor Outlying Islands,2020-02-19,189
Gabon,2020-05-28,133
Croatia,2020-05-17,67
Zambia,2020-04-25,191
Tonga,2020-02-03,58
Ukraine,2020-07-09,178
Luxembourg,2020-04-27,122
Croatia,2020-09-30,197
Angola,2020-11-21,143
Israel,2020-10-22,59
Somalia,2020-07-01,107
Cayman Islands,2020-09-16,187
France,2020-05-16,91
Dominica,2020-06-02,62
Armenia,2020-09-17,83
Martinique,2020-11-29,63
Libyan Arab Jamahiriya,2020-04-11,82
Ecuador,2020-06-14,87
Netherlands,2020-05-18,138
Saint Lucia,2020-05-09,140
Mayotte,2020-08-28,140
Suriname,2020-09-05,135
Canada,2020-10-06,127
Christmas Island,2020-05-23,63
El Salvador,2020-10-04,77
Dominica,2020-09-06,78
Benin,2020-10-21,188
Romania,2020-05-23,85
Chad,2020-10-08,107
Saint Vincent and the Grenadines,2020-04-11,138
Djibouti,2020-03-07,50
Heard Island and Mcdonald Islands,2020-10-10,94
Seychelles,2020-07-06,146
Montserrat,2020-01-24,143
Western Sahara,2020-11-09,176
Christmas Island,2020-06-06,62
Kenya,2020-01-10,109
Saint Helena,2020-07-22,65
Nepal,2020-01-28,176
Lithuania,2020-09-05,65
Ethiopia,2020-01-04,80
Belarus,2020-03-08,79
Qatar,2020-09-23,60
Mozambique,2020-12-20,65
Christmas Island,2020-12-25,110
Brazil,2020-06-18,82
Norway,2020-06-12,63
Anguilla,2020-02-06,162
Benin,2020-04-17,80
Ukraine,2020-06-30,187
Bolivia,2020-06-04,100
Belarus,2020-05-09,85
Libyan Arab Jamahiriya,2020-07-08,149
Bouvet Island,2020-02-13,109
Austria,2020-08-13,95
Wallis and Futuna,2020-10-29,64
Ghana,2020-06-01,131
Guernsey,2020-10-09,74
United Kingdom,2020-02-29,133
Kiribati,2020-05-27,117
Cayman Islands,2020-11-04,125
Mali,2020-08-22,136
Saudi Arabia,2020-12-03,68
Mayotte,2020-04-22,58
Sri Lanka,2020-10-08,153
China,2020-12-29,116
Haiti,2020-12-21,52
Canada,2020-03-18,142
United States Minor Outlying Islands,2020-06-07,81
Burkina Faso,2020-09-21,199
San Marino,2020-04-27,144
Suriname,2020-05-18,109
Puerto Rico,2020-08-23,160
Tokelau,2020-01-17,116
Turkey,2020-03-03,63
United States,2020-09-30,199
Ireland,2020-03-08,198
Haiti,2020-05-09,76
Haiti,2020-10-22,138
Sao Tome and Principe,2020-01-04,165
Paraguay,2020-11-30,72
Montserrat,2020-07-17,181
Albania,2020-04-06,163
Tokelau,2020-07-01,74
Belize,2020-01-16,93
Wallis and Futuna,2020-01-04,87
Austria,2020-05-18,72
Niger,2020-02-16,183
Lesotho,2020-11-27,183
Mozambique,2020-04-01,52
Saint Kitts and Nevis,2020-06-15,99
New Zealand,2020-05-01,131
Costa Rica,2020-01-17,151
Monaco,2020-11-05,167
Iceland,2020-02-25,80
Sudan,2020-04-05,77
Seychelles,2020-06-13,112
Bahrain,2020-12-10,101
Seychelles,2020-05-04,65
Switzerland,2020-10-26,141
Brunei Darussalam,2020-03-12,71
Tonga,2020-06-04,168
Kenya,2020-01-03,151
Myanmar,2020-04-07,154
Kyrgyzstan,2020-03-16,107
Luxembourg,2020-06-09,81
Kenya,2020-04-08,164
Greenland,2020-12-06,93
Switzerland,2020-06-29,195
Myanmar,2020-12-20,70
Panama,2020-08-05,56
Åland Islands,2020-07-31,139
Kazakhstan,2020-01-01,190
American Samoa,2020-01-19,58
South Georgia and the South Sandwich Islands,2020-01-26,152
Yemen,2020-11-14,63
Guernsey,2020-04-10,51
Slovakia,2020-05-11,182
Paraguay,2020-08-07,151
Samoa,2020-05-27,177
Malawi,2020-02-06,157
Kiribati,2020-12-10,83
Croatia,2020-02-09,136
Canada,2020-07-02,107
AndorrA,2020-11-19,133
Mongolia,2020-12-23,92
Cyprus,2020-06-08,72
Gabon,2020-09-17,183
Isle of Man,2020-03-29,51
Mongolia,2020-02-08,67
Cameroon,2020-11-21,140
Nauru,2020-11-13,71
Niger,2020-08-15,112
Swaziland,2020-04-01,129
Gabon,2020-12-05,151
French Polynesia,2020-03-11,69
Croatia,2020-10-07,75
Solomon Islands,2020-12-20,120
Tajikistan,2020-07-10,95
Åland Islands,2020-08-19,135
Greece,2020-01-09,119
Tunisia,2020-02-01,152
Madagascar,2020-07-29,199
Brunei Darussalam,2020-08-01,105
Albania,2020-06-21,172
Luxembourg,2020-11-04,111
Estonia,2020-04-17,185
Nauru,2020-11-21,145
Timor-Leste,2020-11-20,144
Fiji,2020-07-16,82
Jersey,2020-06-17,114
Bangladesh,2020-09-29,123
United Arab Emirates,2020-11-29,151
Swaziland,2020-02-01,117
Jordan,2020-01-06,96
Brazil,2020-12-03,53
Mauritius,2020-03-04,160
Guinea-Bissau,2020-12-03,101
Lao PeopleS Democratic Republic,2020-04-21,85
Romania,2020-06-20,151
Antigua and Barbuda,2020-09-21,131
Cameroon,2020-06-13,119
Lithuania,2020-04-13,191
Greenland,2020-10-21,174
Svalbard and Jan Mayen,2020-11-02,188
Svalbard and Jan Mayen,2020-08-31,196
Tuvalu,2020-10-05,144
Saint Pierre and Miquelon,2020-05-11,93
Paraguay,2020-01-15,200
El Salvador,2020-09-28,150
Costa Rica,2020-09-30,53
Slovenia,2020-02-23,67
South Africa,2020-08-07,175
Papua New Guinea,2020-05-08,73
Tokelau,2020-11-01,114
Central African Republic,2020-07-26,169
Saudi Arabia,2020-11-29,102
Bermuda,2020-12-13,151
Heard Island and Mcdonald Islands,2020-10-02,162
Bermuda,2020-01-31,89
Saint Lucia,2020-10-14,180
Heard Island and Mcdonald Islands,2020-01-24,140
Paraguay,2020-08-01,81
Marshall Islands,2020-11-06,153
Timor-Leste,2020-12-17,64
Liberia,2020-01-31,125
Palau,2020-08-21,84
Sao Tome and Principe,2020-04-22,192
Spain,2020-06-01,193
Yemen,2020-06-25,168
Chad,2020-07-30,91
Angola,2020-01-03,195
Nigeria,2020-07-17,79
AndorrA,2020-02-20,151
Finland,2020-04-06,197
Guadeloupe,2020-03-14,109
Aruba,2020-05-14,95
Cambodia,2020-02-18,61
Georgia,2020-07-11,79
Latvia,2020-12-13,85
New Zealand,2020-12-06,195
Brazil,2020-12-22,183
Lebanon,2020-07-01,190
Liberia,2020-11-29,87
Austria,2020-03-04,199
Madagascar,2020-08-31,165
Burkina Faso,2020-01-10,105
Hong Kong,2020-08-25,100
British Indian Ocean Territory,2020-02-12,110
Armenia,2020-08-13,157
Turks and Caicos Islands,2020-08-25,183
Mauritius,2020-07-03,161
El Salvador,2020-05-28,123
Zambia,2020-02-08,97
Egypt,2020-01-21,149
Antarctica,2020-03-25,76
Zambia,2020-08-30,144
Sri Lanka,2020-07-31,194
Suriname,2020-06-28,171
Suriname,2020-06-18,181
Serbia and Montenegro,2020-06-13,84
Ghana,2020-10-26,198
Brunei Darussalam,2020-06-04,118
Tonga,2020-05-30,198
Senegal,2020-08-23,68
New Zealand,2020-12-20,90
Burundi,2020-02-06,152
Guinea,2020-05-04,120
Netherlands,2020-08-11,74
Myanmar,2020-10-20,179
Maldives,2020-06-01,143
Reunion,2020-10-22,78
Kiribati,2020-10-19,150
Albania,2020-11-14,104
Guam,2020-10-04,196
Brazil,2020-05-27,196
New Zealand,2020-08-13,97
Yemen,2020-03-24,93
Puerto Rico,2020-08-02,92
Guam,2020-09-25,72
Costa Rica,2020-05-14,97
Guinea-Bissau,2020-01-03,178
Ghana,2020-05-15,117
Bangladesh,2020-08-19,170
Western Sahara,2020-07-03,53
Suriname,2020-11-26,159
Antarctica,2020-04-03,51
Egypt,2020-04-18,129
Poland,2020-07-18,160
Christmas Island,2020-12-05,109
China,2020-12-22,178
Zimbabwe,2020-11-28,131
Palau,2020-04-15,52
Tonga,2020-05-19,120
Japan,2020-01-29,137
Puerto Rico,2020-12-06,51
Ukraine,2020-10-06,107
Uganda,2020-03-30,121
Sierra Leone,2020-07-25,160
Equatorial Guinea,2020-12-30,188
Zambia,2020-12-13,198
Romania,2020-11-30,147
Sri Lanka,2020-04-15,187
Angola,2020-03-01,185
Antarctica,2020-09-09,66
Kyrgyzstan,2020-01-03,73
Tajikistan,2020-03-28,195
Guam,2020-11-12,77
Tonga,2020-07-02,59
Georgia,2020-05-25,103
Nigeria,2020-09-16,54
Netherlands Antilles,2020-09-01,124
Uruguay,2020-08-18,125
Somalia,2020-04-28,200
Maldives,2020-05-24,170
Singapore,2020-05-31,196
Brazil,2020-02-18,121
Hungary,2020-01-09,139
Greenland,2020-08-15,130
Congo,2020-03-04,146
Tunisia,2020-05-21,135
Botswana,2020-11-17,54
Eritrea,2020-01-09,194
Iceland,2020-06-19,136
French Guiana,2020-02-15,57
Maldives,2020-06-28,149
Paraguay,2020-07-29,156
Mali,2020-02-07,99
Tunisia,2020-03-17,109
Macao,2020-04-04,63
AndorrA,2020-01-23,135
Croatia,2020-08-04,54
Vanuatu,2020-06-07,88
Pakistan,2020-12-03,82
Niue,2020-08-25,118
Zimbabwe,2020-04-01,154
Tunisia,2020-07-01,190
Eritrea,2020-11-16,154
Burkina Faso,2020-01-22,158
Mali,2020-12-31,148
Tonga,2020-02-21,53
Kiribati,2020-07-17,94
Monaco,2020-06-26,71
Mongolia,2020-03-20,181
Guyana,2020-01-28,53
Gabon,2020-03-28,67
Australia,2020-12-08,112
British Indian Ocean Territory,2020-09-14,53
Armenia,2020-01-13,144
El Salvador,2020-03-04,169
Bolivia,2020-03-20,142
Benin,2020-12-10,99
American Samoa,2020-11-13,68
Vanuatu,2020-10-03,148
Cocos (Keeling) Islands,2020-09-24,146
Malta,2020-08-10,122
Uruguay,2020-10-26,130
Venezuela,2020-12-14,103
Czech Republic,2020-09-07,127
Cyprus,2020-09-30,139
Turkmenistan,2020-02-13,157
Kenya,2020-05-15,74
Cook Islands,2020-06-04,146
Honduras,2020-07-17,87
Palau,2020-06-28,100
Yemen,2020-01-26,150
Svalbard and Jan Mayen,2020-08-16,57
Barbados,2020-02-28,136
Angola,2020-11-30,186
Sudan,2020-02-16,167
Finland,2020-11-05,187
United States Minor Outlying Islands,2020-01-29,191
Japan,2020-06-22,98
Ghana,2020-08-28,126
Jordan,2020-07-19,109
Nigeria,2020-12-29,50
Ethiopia,2020-04-22,89
Guam,2020-03-09,146
Niue,2020-02-23,51
Chad,2020-08-07,129
Azerbaijan,2020-01-12,134
Slovakia,2020-11-13,173
Yemen,2020-02-08,85
Trinidad and Tobago,2020-02-11,108
Kyrgyzstan,2020-10-10,163
Georgia,2020-05-05,103
Slovakia,2020-05-10,172
Somalia,2020-02-25,54
Chile,2020-06-01,170
Kazakhstan,2020-05-15,188
Svalbard and Jan Mayen,2020-07-01,192
France,2020-09-05,102
Vanuatu,2020-04-28,69
Qatar,2020-11-19,95
Cook Islands,2020-11-10,86
Singapore,2020-09-06,112
Saint Lucia,2020-08-17,199
Pitcairn,2020-07-17,110
Fiji,2020-08-12,131
Cape Verde,2020-12-05,88
Ukraine,2020-03-29,187
Djibouti,2020-07-13,113
India,2020-10-06,158
Antigua and Barbuda,2020-05-30,116
Saint Lucia,2020-12-13,153
Israel,2020-12-09,109
Nepal,2020-06-11,100
Djibouti,2020-02-24,60
Indonesia,2020-03-25,67
French Southern Territories,2020-12-18,164
San Marino,2020-07-12,89
Anguilla,2020-06-26,76
Botswana,2020-07-28,145
Chad,2020-06-08,172
Bulgaria,2020-11-03,175
Tunisia,2020-11-28,166
Myanmar,2020-06-06,96
Italy,2020-03-15,104
Hong Kong,2020-10-12,123
Macao,2020-11-08,107
Venezuela,2020-11-05,70
Yemen,2020-04-18,176
Iceland,2020-09-13,76
Zambia,2020-06-26,174
Colombia,2020-05-14,83
Argentina,2020-07-15,122
Yemen,2020-03-02,190
Guinea,2020-12-05,134
Paraguay,2020-06-05,162
Åland Islands,2020-09-22,122
Azerbaijan,2020-04-23,143
Sudan,2020-10-03,194
Saint Kitts and Nevis,2020-06-25,50
Philippines,2020-07-26,82
Kuwait,2020-08-05,179
Myanmar,2020-03-23,156
Central African Republic,2020-09-12,174
Malawi,2020-06-07,128
Slovenia,2020-11-20,136
Jamaica,2020-04-17,142
Nicaragua,2020-09-12,142
Dominican Republic,2020-10-04,162
Malta,2020-09-17,124
Jersey,2020-10-08,64
Suriname,2020-06-06,157
Romania,2020-01-13,183
Israel,2020-07-02,51
Aruba,2020-11-18,173
Bosnia and Herzegovina,2020-05-28,179
Cape Verde,2020-07-31,63
Iraq,2020-11-23,138
Indonesia,2020-05-02,181
Turks and Caicos Islands,2020-06-17,196
Jamaica,2020-08-17,58
Syrian Arab Republic,2020-02-07,172
Libyan Arab Jamahiriya,2020-02-24,184
Belize,2020-05-23,126
Albania,2020-10-11,136
Samoa,2020-12-22,151
Liberia,2020-04-21,134
Maldives,2020-03-15,129
Tuvalu,2020-05-29,98
Guatemala,2020-04-06,190
Equatorial Guinea,2020-08-23,53
Iceland,2020-12-10,135
Canada,2020-10-27,191
Saint Vincent and the Grenadines,2020-07-31,86
Sweden,2020-03-07,160
Israel,2020-06-26,55
Indonesia,2020-03-21,171
Aruba,2020-12-01,155
Tonga,2020-08-21,174
Hungary,2020-12-18,119
Malawi,2020-08-29,137
Sao Tome and Principe,2020-02-08,101
Russian Federation,2020-06-12,102
Heard Island and Mcdonald Islands,2020-12-19,66
Åland Islands,2020-02-29,196
Bulgaria,2020-12-14,71
Senegal,2020-11-13,112
Haiti,2020-10-30,190
Croatia,2020-10-30,58
San Marino,2020-01-06,106
Maldives,2020-04-27,72
Dominican Republic,2020-07-11,130
Philippines,2020-12-17,180
China,2020-04-04,193
Argentina,2020-04-11,126
Martinique,2020-06-15,76
Turkey,2020-07-05,178
Zambia,2020-06-27,137
Kiribati,2020-10-23,123
Serbia and Montenegro,2020-10-28,101
Maldives,2020-11-14,65
Mauritius,2020-06-02,200
South Georgia and the South Sandwich Islands,2020-02-11,118
Ireland,2020-01-28,169
Iraq,2020-06-22,136
Cayman Islands,2020-08-16,94
Guernsey,2020-05-23,162
Slovakia,2020-01-08,113
Montserrat,2020-06-18,51
Kiribati,2020-04-18,89
Japan,2020-06-07,192
Israel,2020-03-25,63
Romania,2020-07-15,116
Aruba,2020-07-25,119
Iraq,2020-01-14,161
Bulgaria,2020-12-17,117
Congo,2020-01-04,151
Belgium,2020-05-06,136