Country,Worker
Afghanistan,459
AndorrA,592
Angola,923
Anguilla,633
Armenia,1187
Australia,733
Austria,492
Bahamas,138
Bahrain,254
Bangladesh,806
Barbados,707
Belarus,346
Belgium,880
Benin,466
Bolivia,302
Botswana,674
Bouvet Island,413
Brazil,934
British Indian Ocean Territory,291
Brunei Darussalam,888
Burundi,413
Cambodia,702
Canada,1129
Cayman Islands,888
Central African Republic,880
Chad,1051
Chile,535
China,664
Christmas Island,616
Cocos (Keeling) Islands,229
Colombia,366
Comoros,610
Congo,631
Cuba,90
Dominican Republic,357
Egypt,474
El Salvador,982
Equatorial Guinea,517
Estonia,795
Ethiopia,865
Faroe Islands,634
Fiji,351
Finland,673
France,616
French Guiana,169
Germany,222
Greece,536
Guam,595
Guinea,563
Guyana,351
Heard Island and Mcdonald Islands,793
Honduras,708
Hungary,458
India,344
Ireland,792
Isle of Man,298
Italy,749
Kazakhstan,835
Kenya,695
Kuwait,548
Lesotho,300
Malawi,749
Malaysia,368
Mali,668
Malta,376
Mauritania,50
Mauritius,859
Mayotte,388
Mexico,109
Monaco,537
Mongolia,501
Morocco,324
Mozambique,344
Myanmar,758
Namibia,152
Nauru,486
Netherlands,504
Netherlands Antilles,545
New Zealand,757
Nicaragua,291
Northern Mariana Islands,411
Norway,113
Pakistan,146
Palau,512
Panama,222
Poland,575
Puerto Rico,490
RWANDA,742
Reunion,761
Romania,1051
Russian Federation,266
Saint Kitts and Nevis,380
Saint Lucia,887
Saint Vincent and the Grenadines,756
San Marino,725
Saudi Arabia,730
Senegal,252
Serbia and Montenegro,485
Seychelles,690
Singapore,499
Slovakia,744
Slovenia,451
Solomon Islands,479
Somalia,782
Sudan,608
Suriname,1245
Svalbard and Jan Mayen,857
Swaziland,552
Switzerland,518
Syrian Arab Republic,444
Thailand,236
Timor-Leste,834
Togo,306
Tokelau,712
Tonga,1255
Tunisia,1385
Turkey,388
Turkmenistan,630
Tuvalu,955
United Arab Emirates,401
United States Minor Outlying Islands,1251
Uruguay,396
Uzbekistan,242
Venezuela,447
Viet Nam,372
Zambia,1252
Albania,919
Algeria,296
Antigua and Barbuda,466
Argentina,349
Aruba,808
Azerbaijan,378
Bhutan,265
Bulgaria,529
Burkina Faso,563
Cameroon,397
Cape Verde,399
Costa Rica,407
Cote DIvoire,52
Croatia,827
Cyprus,751
Czech Republic,299
Denmark,383
Dominica,380
French Polynesia,263
Georgia,444
Ghana,903
Gibraltar,144
Grenada,117
Guadeloupe,340
Guatemala,462
Guinea-Bissau,465
Haiti,605
Hong Kong,390
Iceland,580
Israel,638
Japan,579
Jersey,607
Jordan,319
Kiribati,830
Kyrgyzstan,638
Lao PeopleS Democratic Republic,338
Latvia,404
Liberia,477
Libyan Arab Jamahiriya,604
Liechtenstein,255
Luxembourg,471
Macao,321
Madagascar,536
Marshall Islands,390
Martinique,562
New Caledonia,141
Niue,388
Norfolk Island,241
Oman,248
Papua New Guinea,247
Paraguay,984
Peru,285
Pitcairn,262
Portugal,355
Qatar,267
Samoa,415
Sao Tome and Principe,532
Sierra Leone,691
Spain,316
Uganda,569
United Kingdom,290
United States,344
Vanuatu,407
Western Sahara,712
Yemen,1203
Zimbabwe,690
Ã…land Islands,768
American Samoa,126
Antarctica,476
Belize,275
Cook Islands,367
Djibouti,223
Ecuador,242
French Southern Territories,452
Gabon,534
Greenland,448
Guernsey,447
Lithuania,409
Montserrat,375
Nepal,276
Niger,295
Philippines,438
Saint Helena,65
South Georgia and the South Sandwich Islands,270
Sri Lanka,534
Tajikistan,603
Ukraine,958
Wallis and Futuna,151
Bermuda,240
Eritrea,348
Lebanon,190
Maldives,728
Nigeria,183
Saint Pierre and Miquelon,93
South Africa,175
Turks and Caicos Islands,379
Bosnia and Herzegovina,179
Indonesia,419
Iraq,435
Jamaica,200
Sweden,160
Trinidad and Tobago,108
